Context,English,Gibberish,French,Spanish,German,Korean,BrazilianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish,Ukrainian,Greek,Arabic,Vietnamese,Turkish
,It's purple paper.,,C'est du papier violet.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Red,,Papier de couleur Rouge,,,,,,,,,,,,,,,,,,,,,,
,It's red paper.,,C'est du papier rouge.,,,,,,,,,,,,,,,,,,,,,,
,Coloured Paper Yellow,,Papier de couleur jaune,,,,,,,,,,,,,,,,,,,,,,
,It's yellow paper.,,C'est du papier jaune.,,,,,,,,,,,,,,,,,,,,,,
,Bulk Paper,,Papier en vrac,,,,,,,,,,,,,,,,,,,,,,
,Land Claim Paper,,Document sur les revendications territoriales,,,,,,,,,,,,,,,,,,,,,,
,It's processed paper.,,C'est du papier traité.,,,,,,,,,,,,,,,,,,,,,,
,Processed Paper,,Papier traité,,,,,,,,,,,,,,,,,,,,,,
,Tissue Rolls,,Rouleaux de papier hygiénique,,,,,,,,,,,,,,,,,,,,,,
,For your umm, needs.,,Pour vos besoins.,,,,,,,,,,,,,,,,,,,,,,
,Paper Cat,,Chat en papier,,,,,,,,,,,,,,,,,,,,,,
,A black cat.,,Un chat noir.,,,,,,,,,,,,,,,,,,,,,,
,Paper Dog,,Chien de papier,,,,,,,,,,,,,,,,,,,,,,
,A black dog.,,Un chien noir.,,,,,,,,,,,,,,,,,,,,,,
,Paper Heart Broken Black,,Papier Coeur Brisé Noir,,,,,,,,,,,,,,,,,,,,,,
,You'll get through this.,,Vous vous en sortirez.,,,,,,,,,,,,,,,,,,,,,,
,Paper Heart Broken Red,,Papier Coeur Brisé Rouge,,,,,,,,,,,,,,,,,,,,,,
,Paper Heart Full Black,,Papier Coeur Plein Noir,,,,,,,,,,,,,,,,,,,,,,
,Love?,,Amour?,,,,,,,,,,,,,,,,,,,,,,
,Paper Heart Full Pride,,Coeur de papier plein de fierté,,,,,,,,,,,,,,,,,,,,,,
,Paper Heart Full Red,,Papier Coeur Plein Rouge,,,,,,,,,,,,,,,,,,,,,,
,Paper Heart Half Black,,Papier Coeur Demi Noir,,,,,,,,,,,,,,,,,,,,,,
,Where's the other half?,,Où est l'autre moitié ?,,,,,,,,,,,,,,,,,,,,,,
,Paper Stars Pride,,Fierté des étoiles de papier,,,,,,,,,,,,,,,,,,,,,,
,You can count these.,,Vous pouvez les compter.,,,,,,,,,,,,,,,,,,,,,,
,Paper Stars Yellow,,Etoiles en Papier Jaune,,,,,,,,,,,,,,,,,,,,,,
,Paper Sun Pride,,Fierté du soleil en papier,,,,,,,,,,,,,,,,,,,,,,
,Shine?,,Briller?,,,,,,,,,,,,,,,,,,,,,,
,Paper Sun Yellow,,Papier Jaune Soleil,,,,,,,,,,,,,,,,,,,,,,
,Cardboard Box,,Boîte en carton,,,,,,,,,,,,,,,,,,,,,,
,A cardboard box you can store items in.,,Une boîte en carton dans laquelle vous pouvez ranger des objets.,,,,,,,,,,,,,,,,,,,,,,
,Paper Bookshelf,,Bibliothèque en papier,,,,,,,,,,,,,,,,,,,,,,
,A place to store knowledge and information; leads to the town hall.,,Un lieu de stockage des connaissances et des informations ; mène à la mairie.,,,,,,,,,,,,,,,,,,,,,,
,Shelves,,Des étagères,,,,,,,,,,,,,,,,,,,,,,
,Paper Milling Workbench,,Établi de fabrication de papier,,,,,,,,,,,,,,,,,,,,,,
,A table for Paper Milling. Size: 2x2x3,,Une table pour la papeterie. Taille : 2x2x3,,,,,,,,,,,,,,,,,,,,,,
,Paper Milling Basic Upgrade,,Module de mise à niveau de basic de la papeterie,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
